"Parish","Holding","X","Y","Cattle","Sheep","Infection","Cull","Classification","Exposed","Removed","xytmodes","k10","k20","k26","k30"
159,27,359.8,543.5,130,1184,74,83,1,69,78,3,7,16,16,14
39,21,322.4,547.5,311,313,93,100,1,88,97,7,6,12,10,29
50,87,331.2,539.7,0,174,0,0,0,0,0,12,4,11,14,2
133,7000,328.924,524.169,0,189,0,0,0,0,0,15,1,9,8,11
38,115,325.9,545.5,26,331,64,72,0,59,68,7,6,12,10,3
37,20,334,551.1,329,487,43,53,1,38,47,1,3,7,12,15
170,195,353.2,529.7,16,168,0,0,0,0,0,5,8,4,7,12
212,128,324.5,545.7,200,0,0,0,1,0,0,22,6,12,10,29
40,122,324.243,550.54,97,502,0,0,1,0,0,7,6,3,2,19
173,237,340.279,543.906,0,18,0,0,0,0,0,4,9,10,18,9
138,131,354.4,544.7,0,3,0,0,0,0,0,3,7,16,16,14
397,5,356,523,47,302,0,0,0,0,0,3,8,15,5,8
142,24,337.7,542,98,0,0,0,0,0,0,4,5,10,18,10
29,9,321,542.6,314,202,69,80,1,64,73,14,4,18,11,18
163,35,335.6,527.2,262,3372,0,0,1,0,0,24,1,9,8,28
131,16,323,532.2,64,162,0,0,0,0,0,2,4,19,15,13
40,15,324.7,550.7,56,0,0,0,0,0,0,7,6,3,2,19
37,120,327.837,550.822,24,0,0,0,0,0,0,7,6,3,2,17
151,30,344.6,532.1,131,379,0,0,1,0,0,11,10,4,1,27
142,100,337.3,538.6,6,11,0,0,0,0,0,4,5,14,25,10
152,52,348.1,544.1,326,0,76,85,1,71,80,8,9,1,17,20
130,103,323.2,523.7,14,24,0,0,0,0,0,21,1,6,21,11
149,30,357.7,538.8,228,0,65,73,1,60,69,20,2,5,20,24
212,134,325.6,547.8,0,25,0,0,0,0,0,22,6,12,10,3
71,82,332.4,552.3,215,0,47,55,1,42,51,1,3,7,12,25
138,61,353.4,544,127,0,50,60,1,45,54,3,7,16,19,14
412,1,355.6,520.5,197,0,0,0,1,0,0,3,8,15,5,8
146,130,345,530,77,462,0,0,1,0,0,11,10,4,1,27
28,113,327.32,553.798,20,0,0,0,0,0,0,7,6,3,2,17
167,57,336.6,533.1,170,2976,56,64,1,51,60,10,5,14,25,22
36,68,333.1,541.7,186,245,53,63,1,48,57,4,5,11,14,10
30,116,328.921,539.515,0,283,0,0,0,0,0,12,4,11,14,2
159,69,356.4,541.1,69,1573,23,34,1,18,27,3,2,16,16,14
118,18,353.9,553.6,110,0,0,0,1,0,0,17,7,17,13,26
388,13,351.6,520.1,0,330,0,0,0,0,0,6,8,15,9,6
38,17,330.1,546.1,86,0,0,0,0,0,0,7,3,7,6,7
211,7,336.2,554.4,248,0,49,58,1,44,53,1,3,2,12,15
119,3,357.101,551.523,0,71,0,0,0,0,0,5,7,17,13,26
38,41,333.3,548.8,528,0,64,73,1,59,68,1,3,7,23,25
157,47,344.4,527.5,208,0,0,0,1,0,0,11,10,8,22,27
137,22,325.8,525.9,96,200,0,0,0,0,0,21,1,6,21,11
86,46,346.437,554.475,22,0,0,0,0,0,0,31,9,13,3,4
159,20,358.3,546.1,109,2550,45,55,1,40,49,3,7,16,16,14
136,30,334.8,526.7,26,998,0,0,1,0,0,15,1,9,8,28
173,40,342.4,535.5,395,505,35,45,1,30,39,10,5,14,24,16
86,295,347.7,553.9,0,13,0,0,0,0,0,8,9,13,3,4
389,14,347.4,525.2,172,2160,0,0,1,0,0,11,10,4,9,6
142,40,335.8,538.1,14,560,46,54,1,41,50,4,5,11,25,10
173,112,342.9,539.8,112,301,45,54,1,40,49,11,5,20,24,9
142,31,339.9,538.9,0,192,0,0,0,0,0,4,5,14,24,9
142,72,339.2,540.2,116,0,0,0,1,0,0,4,5,10,18,9
46,134,325.3,536.6,0,74,0,0,0,0,0,2,4,19,11,21
39,40,322.3,544.4,135,0,91,98,1,86,95,14,6,12,10,29
28,25,325.788,552.509,188,157,0,0,1,0,0,7,6,3,2,17
212,137,326.3,547.3,23,297,0,0,0,0,0,22,6,12,10,3
142,1,339.2,535.9,269,141,57,65,1,52,61,10,5,14,25,22
394,8,359.1,524.9,74,0,0,0,0,0,0,3,8,15,5,8
163,63,340.4,523.1,121,610,0,0,1,0,0,9,10,8,22,28
66,53,330.511,554.972,114,212,0,0,1,0,0,6,3,3,12,17
159,7000,359.8,543.4,0,157,0,0,0,0,0,3,7,16,16,14
38,200,331.1,542.5,142,587,0,0,1,0,0,12,3,11,14,7
160,18,357.258,533.725,21,0,0,0,0,0,0,20,2,5,20,24
37,12,332.1,550.7,422,0,55,62,1,50,59,1,3,7,12,25
157,21,341.5,527.1,7,0,0,0,0,0,0,11,10,8,22,28
136,69,332.149,525.379,0,56,0,0,0,0,0,15,1,9,8,11
151,6,343.3,532.9,204,853,0,0,1,0,0,11,10,14,1,16
50,78,335.6,536,189,2693,0,0,1,0,0,4,5,14,25,22
400,5,356.6,521.2,14,0,0,0,0,0,0,3,8,15,5,8
38,21,329.5,546.4,26,370,0,0,0,0,0,22,6,7,6,7
159,7003,355.3,541.2,0,89,0,0,0,0,0,3,2,16,16,14
33,35,320.6,552.2,352,386,0,0,1,0,0,7,6,3,2,19
153,1,357.9,535.6,43,0,0,0,0,0,0,20,2,5,20,24
67,7008,357.6,552.4,0,129,0,0,0,0,0,5,7,17,13,26
120,36,350.908,550.702,406,558,52,60,1,47,56,17,7,17,13,26
146,39,347.694,526.837,109,3366,0,0,1,0,0,11,10,4,9,6
36,47,334.8,544.1,94,622,44,52,1,39,48,4,3,10,23,30
68,113,337.775,545.454,368,0,54,63,1,49,58,4,3,10,18,30
28,10,327.495,553.288,90,50,0,0,0,0,0,7,6,3,2,17
72,80,343.4,548.4,175,1539,69,77,1,64,73,23,9,13,26,23
142,64,336,540.3,262,806,49,58,1,44,53,4,5,11,18,10
157,2,341.9,527.9,145,462,0,0,1,0,0,11,10,8,22,28
40,33,325.5,546.9,159,269,0,0,1,0,0,22,6,12,10,3
50,127,330.743,535.887,16,171,0,0,0,0,0,12,4,11,14,2
167,52,337.3,533.4,297,1403,0,0,1,0,0,10,5,14,25,22
167,22,336.9,531.4,198,1144,0,0,1,0,0,4,5,14,25,22
401,12,355.6,525.3,267,0,0,0,1,0,0,3,8,15,5,8
152,168,345.9,548.6,142,0,67,75,1,62,71,8,9,13,3,4
38,113,333.6,547.4,237,0,0,0,1,0,0,1,3,7,23,25
160,9,357.06,533.56,82,229,0,0,0,0,0,20,2,5,20,24
117,6,352.4,551.6,70,216,36,49,0,31,40,17,7,17,13,26
397,21,356.7,524.8,512,1031,44,54,1,39,48,3,8,15,5,8
159,82,356.9,546.3,0,372,0,0,0,0,0,3,7,16,16,14
134,16,331.6,520.5,0,5,0,0,0,0,0,15,1,9,8,11
136,18,332.5,526.1,107,1347,0,0,1,0,0,15,1,9,8,11
173,63,345.5,534.1,237,0,0,0,1,0,0,11,10,4,1,16
38,152,331.8,549,19,0,0,0,0,0,0,1,3,7,6,25
38,133,326.8,545.4,51,559,0,0,1,0,0,22,6,12,10,3
68,35,335.7,548.4,312,0,0,0,1,0,0,1,3,7,23,30
167,25,337.8,531.6,40,798,64,72,1,59,68,10,5,14,25,22
173,124,340.212,543.502,46,300,64,72,0,59,68,4,5,10,18,9
145,95,357.7,532.3,172,129,0,0,1,0,0,20,2,5,20,24
50,89,330.1,540.2,63,676,0,0,1,0,0,12,4,11,14,2
134,26,332.3,524.7,48,636,0,0,1,0,0,15,1,9,8,11
170,26,349.4,534.7,161,307,0,0,1,0,0,5,2,4,4,12
30,4,326.2,541.5,412,640,69,77,1,64,73,14,4,18,11,5
160,16,355.9,531.8,348,1681,38,49,1,33,42,20,2,5,7,12
87,12,323.4,534.3,104,1253,0,0,1,0,0,2,4,19,15,13
151,75,342.6,528.3,0,72,0,0,0,0,0,11,10,8,22,28
120,12,351.35,550.411,165,28,0,0,1,0,0,17,7,17,13,26
68,7,339,549.1,137,0,61,68,1,56,65,23,9,2,26,23
86,306,346.4,551,4,31,0,0,0,0,0,8,9,13,3,4
40,38,325.1,549.4,236,194,0,0,1,0,0,7,6,12,10,3
68,72,338.6,546.5,464,0,52,60,1,47,56,4,9,10,26,30
131,42,320.7,532.5,54,585,0,0,1,0,0,2,4,19,15,13
38,65,326.6,545.7,210,37,0,0,1,0,0,22,6,12,10,3
170,142,352.9,529.5,165,427,0,0,1,0,0,5,8,4,7,12
389,21,347.9,525.4,109,0,0,0,1,0,0,11,10,4,9,6
131,61,325,532.5,220,1619,0,0,1,0,0,2,4,19,15,13
50,26,331.8,541.2,0,2960,0,0,1,0,0,12,5,11,14,2
142,3,337.3,541.9,167,0,0,0,1,0,0,4,5,10,18,10
68,105,335.036,549.899,5,0,0,0,0,0,0,1,3,7,12,15
173,133,341,543.7,49,110,0,0,0,0,0,4,9,10,18,9
37,130,330.3,549.8,90,0,0,0,0,0,0,7,3,7,6,25
68,251,337.857,543.439,14,0,46,54,0,41,50,4,5,10,18,30
163,71,344.6,524.7,19,0,0,0,0,0,0,11,10,8,22,6
